'wang'hong'tu 王洪图
'wang'huai'yin 王怀隐
'wang'ji 汪机
'wang'jin'zhi 王进之
'wang'ken'tang 王肯堂
'wang'meng'ying 王孟英
'wang'mian'zhi 王冕之
'wang'qing'ren 王清任
'wang'sheng'zhi 汪省之
'wang'shi'xiong 王士雄
'wang'shu'he 王叔和
'wang'tao 王焘
'wang'wei'de 王维德
'wang'xun'chen 王勋臣
'wei'sheng'jia'bao'chan'ke'bei'yao 卫生家宝产科备要
'wei'yi'lin 危亦林
'wen're'lun 温热论
'wen'yi'lun 温疫论
'wu'an'ye 吴安业
'wu'ju'tong 吴鞠通
'wu'pei'heng 吴佩衡
'wu'qian 吴谦
'wu'shang'xian 吴尚先
'wu'shi'ji 吴师机
'wu'shu'qing 武叔卿
'wu'tang 吴塘
'wu'wen'ji 吴文吉
'wu'you'ke 吴又可
'wu'you'xing 吴有性
'wu'zhi'wang 武之望
'xi'yuan'ji'lu 洗冤集录
'xi'yuan'yi'yin'ji 息园医隐记
'xia'yu'zhu 夏禹铸
'xian'dai'yi'an'xuan 现代医案选
'xian'shou'li'shang'xu'duan'mi'fang 仙授理伤续断秘方
'xiao'er'ban'zhen'bei'ji'fang'lun 小儿斑疹备急方论
'xiao'er'bing'yuan'fang'lun 小儿病源方论
'xiao'er'dou'zhen'fang'lun 小儿痘疹方论
'xiao'er'wei'sheng'zong'wei'lun'fang 小儿卫生总微论方
'xiao'er'yao'zheng'zhi'jue 小儿药证直诀
'xiao'fang'jun 萧方骏
'xiao'long'you 萧龙友
'xiao'shen'zhai 肖慎斋
'xie'yu'qiong 谢玉琼
'xin'xiu'ben'cao 新修本草
'xiong'man'qi 熊曼琪
'xiu'zhen'xiao'er'fang 袖珍小儿方
'xu'da'chun 徐大椿
'xu'ling'tai 徐灵胎
'xu'ming'yi'lei'an 续名医类案
'xu'yong'xuan 徐用宣
'xu'zhi'cai 徐之才
'xuan'guo'wei 禤国维
'xuan'ming'lun'fang 宣明论方
'xue'ji 薛己
'xue'kai 薛铠
'xue'sheng'bai 薛生白
'xue'xin'fu 薛新甫
'xue'xuan 薛轩
'xue'xue 薛雪
'xue'zheng'lun 血证论
'xue'zhong'ang 薛仲昂
'yan'cheng'zhai 阎诚斋
'yan'chun'xi 阎纯玺
'yan'hong'zhi 严鸿志
'yan'ji'zhong 阎季忠
'yang'kang'hou 杨康候
'yang'ke'gang'yao 疡科纲要
'yang'ke'xin'de'ji 疡科心得集
'yang'li'shan 杨栗山
'yang'xuan 杨璇
'yang'yu'heng 杨玉衡
'yang'zi'jian 杨子健
'yao'yao'fen'ji 要药分剂
'yao'zhu'nan'jing 药注难经
'ye'gui 叶桂
'ye'tian'shi 叶天士
'yi'an 医案
'yi'bian 医碥
'yi'fang 医方
'yi'hua 医话
'yi'lin'gai'cuo 医林改错
'yi'men'fa'lv 医门法律
'yi'shui'xue'pai 易水学派
'yi'shuo 医说
'yi'xue'jian'neng 医学见能
'yi'xue'qi'yuan 医学启源
'yi'xue'zhong'zhong'can'xi'lu 医学衷中参西录
'yi'yi'tong'shuo 医易通说
'yi'zong'jin'jian 医宗金鉴
'ying'tong'bai'wen 婴童百问
'yong'yao'shi 用药式
'you'ke'fa'hui 幼科发挥
'you'ke'shi'mi 幼科释迷
'you'ke'tie'jing 幼科铁镜
'you'you'ji'cheng 幼幼集成
'you'you'xin'shu 幼幼新书
'yu'chang 喻昌
'yu'jia'yan 喻嘉言
'yu'jing'he 余景和
'yu'mao'kun 俞茂鲲
'yu'shi'yu 余师愚
'yu'ting'hong 余听鸿
'yu'yi'cao 寓意草
'yu'ying'jia'mi 育婴家秘
'yue'mei'zhong 岳美中
'yun'shu'jue 恽树珏
'yun'tie'qiao 恽铁樵
'za'bing'yuan'liu'xi'zhu 杂病源流犀烛
'zan'yin 昝殷
'zang'fu'biao'ben'han're'xu'shi 脏腑标本寒热虚实
'zhan'yu'jian 詹宇坚
'zhang'bu'tao 张步桃
'zhang'cong'zheng 张从正
'zhang'dai'ren 张戴人
'zhang'feng'kui 张风逵
'zhang'he'teng 张鹤腾
'zhang'jia'wei 张家维
'zhang'jie'bin 张介宾
'zhang'jie'gu 张洁古
'zhang'jing'yue 张景岳
'zhang'shan'lei 张山雷
'zhang'shao'zhen 张少珍
'zhang'shou'fu 张寿甫
'zhang'shou'yi 张寿颐
'zhang'si'nong 张司农
'zhang'xi'chun 张锡纯
'zhang'yan 张琰
'zhang'yuan'su 张元素
'zhang'zan'chen 张赞臣
'zhang'zi'he 张子和
'zhao'kai'mei 赵开美
'zhao'shao'qin 赵绍琴
'zhao'xian'ke 赵献可
'zhao'yang'kui 赵养葵
'zhen'zhu'nang'yao'xing'fu 珍珠囊药性赋
'zheng'li'zhong'guo'yi'yao'xue'yi'jian'shu 整理中国医药学意见书
'zheng'mei'jian 郑梅涧
'zheng'qin'an 郑钦安
'zheng'shou'quan 郑寿全
'zheng'yin'mai'zhi 症因脉治
'zheng'zhi'yao'jue 证治要诀
'zheng'zhi'yao'jue'lei'fang 证治要诀类方
'zhong'dou'xin'fa 种痘心法
'zhong'dou'xin'shu 种痘新书
'zhong'xi'hui'tong'yi'jing'jing'yi 中西汇通医经精义
'zhong'yi'bing'li'xue 中医病理学
'zhou'dai'han 周岱翰
'zhu'dan'xi 朱丹溪
'zhu'duan'zhang 朱端章
'zhu'mai'zhu'bing'shi 诸脉主病诗
'zhu'pei'wen 朱沛文
'zhu'shao'lian 朱少廉
'zhu'shen'yu 祝谌予
'zhu'su 朱橚
'zhu'wei'ju 祝味菊
'zhu'xiao'nan 朱小南
'zhu'yi'liang 朱奕梁
'zhu'yue'yang'tai'fang 逐月养胎方
'zhu'zhen'heng 朱震亨
'zun'sheng'lao'ren 遵生老人
